Date,Value,DataCollectedAt
2008-09-19,91.0014,2026-09-18
2008-09-22,90.1119,2026-09-18
2008-09-23,90.1221,2026-09-18
2008-09-24,90.4602,2026-09-18
2008-09-25,90.4651,2026-09-18
2008-09-26,90.6872,2026-09-18
2008-09-29,91.3961,2026-09-18
2008-09-30,92.3773,2026-09-18
2008-10-01,92.511,2026-09-18
2008-10-02,93.3792,2026-09-18
2008-10-03,93.5414,2026-09-18
2008-10-06,95.1629,2026-09-18
2008-10-07,95.4889,2026-09-18
2008-10-08,96.9684,2026-09-18
2008-10-09,96.5143,2026-09-18
2008-10-10,97.999,2026-09-18
2008-10-13,97.9686,2026-09-18
2008-10-14,96.2544,2026-09-18
2008-10-15,97.2045,2026-09-18
2008-10-16,98.368,2026-09-18
2008-10-17,97.7255,2026-09-18
2008-10-20,98.1605,2026-09-18
2008-10-21,99.4242,2026-09-18
2008-10-22,101.2131,2026-09-18
2008-10-23,101.1071,2026-09-18
2008-10-24,101.8442,2026-09-18
2008-10-27,102.3415,2026-09-18
